<"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/fluechtlingsdrama-lampedusa-was-tun"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Susin Park";"Leiterin UNHCR Schweiz";"Ja";"Diskutant";"+1"
"@5";"Thomas Kessler";"Migrationsexperte";"Ja";"Diskutant";"-1"
"@6";"Jenke Von Wilmsdorff";"Journalist";"Ja";"Diskutant";"+2"
"@7";"René Zeyer";"Journalist";"Ja";"Diskutant";"-2"
"@8";"Gabriele Siegenthaler Muinde";"Teamleiterin Nordafrika DEZA";"Ja";"Zuschauer";"aussen"
"@9";"Jürg Von Gunten";"Grenzwachkorps";"Ja";"Zuschauer";"aussen"
"@10";"Doris Fiala";"Nationalrätin FDP Liberale/ZH";"Ja";"Zuschauer";"aussen"
"@11";"Yvette Estermann";"Nationalrätin SVP/LU";"Ja";"Zuschauer";"aussen"
"@12";"Silvia Schenker";"Nationalrätin SP/BS";"Ja";"Zuschauer";"aussen"
"@13";"Geri Müller";"Nationalrat Grüne/AG";"Ja";"Zuschauer";"aussen"
"@14";"Urs Von Arb";"vize-Direktor Bundesamt für Migration";"Ja";"Zuschauer";"aussen"
"@15";"Gerhard Pfister";"Nationalrat CVP/ZG";"Ja";"Zuschauer";"aussen"
"@16";"Thomas Weibel";"Nationalrat GLP/ZH";"Ja";"Zuschauer";"aussen"
"@17";"Muriel Trummer";"Schweizerische Flüchtlingshilfe";"Ja";"Zuschauer";"aussen"
