"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/poker-um-bilaterale-wirtschaft-schlaegt-alarm"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Philipp Müller";"Nationalrat FDP/AG";"Ja";"Diskutant";"+1"
"@5";"Heinz Karrer";"Präsident Economiesuisse";"Ja";"Diskutant";"-1"
"@6";"Jacqueline Fehr";"Nationalrätin SP/ZH";"Ja";"Diskutant";"+2"
"@7";"Toni Brunner";"Nationalrat SVP/SG";"Ja";"Diskutant";"-2"
"@8";"Nick Beglinger";"Präsident Swisscleantech";"Ja";"Zuschauer";"aussen"
"@9";"Christa Tobler";"Rechtsprofessorin Europainstitut Universität Basel";"Ja";"Experte";"aussen"
"@10";"Viola Amherd";"Nationalrätin CVP/VS";"Ja";"Zuschauer";"aussen"
"@11";"Martin Landolt";"Nationalrat BDP/GL";"Ja";"Zuschauer";"aussen"
"@12";"Balthasar Glättli";"Nationalrat Grüne/ZH";"Ja";"Zuschauer";"aussen"
"@13";"Jürg Grossen";"Nationalrat GLP/BE";"Ja";"Zuschauer";"aussen"
"@14";"Simonetta Sommaruga";"Bundesrätin";"Nein";"andere";"via Video"
