"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/praesidialarena"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Johann Schneider-Ammann";"Bundespräsident";"Ja";"Diskutant";"-"
"@5";"Heinz Karrer";"Präsident Economiesuisse";"Ja";"Diskutant";"-"
"@6";"Vania Alleva";"Gewerkschaft Unia";"Ja";"Diskutant";"-"
"@7";"Lukas Reimann";"Nationalrat SVP/SG";"Ja";"Diskutant";"-"
"@8";"Markus Theunert";"Ehemaliger Männerbeauftragter ZH";"Ja";"Diskutant";"-"
"@9";"Rosmarie Heilmann";"Arbeitslose";"Ja";"Diskutant";"-"
"@10";"Gian-Luca Lardi";"Präsident Baumeisterverband";"Ja";"Diskutant";"-"
"@11";"Chantal Bürge";"Marketingberaterin";"Ja";"Diskutant";"-"
