"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/zerrissene-schweiz"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Philipp Gut";"Stv. Chefredaktor Weltwoche (streifen)";"Ja";"Diskutant";"-"
"@5";"Adrian Amstutz";"Nationalrat SVP/BE (blaue Kr.)";"Ja";"Diskutant";"-"
"@6";"Daniel Jositsch";"Ständerat SP/ZH (rosa)";"Ja";"Diskutant";"-"
"@7";"Urs Elmer";"Befürworter ""Durchsetzungsinitiative""";"Ja";"Zuschauer";"-"
"@8";"David  Kohler = Knackeboul";"Musiker";"Ja";"Diskutant";"-"
"@9";"Bianca Christen";"Befürworterin ""Durchsetzungsinitiative""";"Ja";"Zuschauer";"-"
"@10";"Patrick Plattner";"Gegner ""Durchsetzungsinitiative""";"Ja";"Zuschauer";"-"
"@11";"Josuah Schmid";"Befürworter ""Durchsetzungsinitiative""";"Ja";"Zuschauer";"-"
"@12";"Alessandro Valdettaro";"Gegner ""Durchsetzungsinitiative""";"Ja";"Zuschauer";"-"
"@13";"Abeelan Rasadurai";"Gegner ""Durchsetzungsinitiative""";"Ja";"Zuschauer";"-"
"@14";"Michael Schär";"Befürworter ""Durchsetzungsinitiative""";"Ja";"Zuschauer";"-"
"@15";"Erich Jost";"Befürworter ""Durchsetzungsinitiative""";"Ja";"Zuschauer";"-"
"@16";"Stefan Büchi";"Gegner ""Durchsetzungsinitiative""";"Ja";"Zuschauer";"-"
"@17";"Rose Marie Doblies";"Gegnerin ""Durchsetzungsinitiative""";"Ja";"Zuschauer";"-"
