"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/bruessel-greift-an-wird-die-schweiz-nun-entwaffnet"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Chantal Galladé";"Nationalrätin SP/ZH";"Ja";"Diskutant";"-"
"@5";"Jakob Büchler";"Nationalrat CVP/SG";"Ja";"Diskutant";"-"
"@6";"Josef Lang";"GSoA";"Ja";"Diskutant";"-"
"@7";"Werner Salzmann";"Nationalrat SVP/BE";"Ja";"Diskutant";"-"
"@8";"Christoph Stückelberger";"Wirtschaftsethiker";"Ja";"Experte";"-"
"@9";"Fabian Ochsner";"vize-Direktor ""Rheinmetall Air Defence""";"Ja";"Experte";"-"
"@10";"Sandro Wächter";"Arbeitsloser";"Ja";"Zuschauer";"-"
"@11";"Christoph Schär";"Unternehmer";"Ja";"Zuschauer";"-"
"@12";"Florian Suter";"Arzt";"Ja";"Zuschauer";"-"
"@13";"Sebastian Brassel";"Informationsmanager";"Ja";"Zuschauer";"-"
"@14";"Gast";"Pro Waffen Zuhause";"Ja";"Zuschauer";NA
