"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/und-jetzt-europa"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Luzi Stamm";"Nationalrat SP/ZH";"Ja";"Diskutant";"-"
"@5";"Eric Nussbaumer";"Nationalrat SP/BL";"Ja";"Diskutant";"-"
"@6";"Philipp Müller";"Nationalrat FDP/AG";"Ja";"Diskutant";"-"
"@7";"Flavia Kleiner";"Co-Präsidentin Operation Libero";"Ja";"Diskutant";"-"
"@8";"Simonetta Sommaruga";"Bundesrätin";"Nein";"Andere";"-"
"@9";"Marlene Hotz";"Arbeitslose";"Ja";"Zuschauer";"-"
"@10";"Dominik Gysi";"Kaufmännischer Angestellter";"Ja";"Zuschauer";"-"
"@11";"Dieter Freiburghaus";"Politologe";"Ja";"Experte";"-"
"@12";"Franz Hostettler";"Unternehmer";"Ja";"Zuschauer";"-"
"@13";"Pedro Reiser";"ex-Manager";"Ja";"Zuschauer";"-"
"@14";"Simon Frattini";"technischer Berater";"Ja";"Zuschauer";"-"
"@15";"Bruno Dreifuss";"Wirtschaftsinformatiker";"Ja";"Zuschauer";"-"
"@16";"Helena Kangur";"Bildhauerin";"Ja";"Zuschauer";"-"
"@17";"Gast, unbekannt";"Kontra Freizügigkeitsabkommen";"Ja";"Zuschauer";NA
