"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/wer-will-homo-eltern"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Hans-Peter Portmann";"Nationalrat FDP/ZH";"Ja";"Diskutant";"-"
"@5";"Sebastian Frehner";"Nationalrat SVP/BS";"Ja";"Diskutant";"-"
"@6";"Kathrin Bertschy";"Nationalrätin GLP/BE";"Ja";"Diskutant";"-"
"@7";"Peter Schneider";"Psychoanalytiker";"Ja";"Experte";"-"
"@8";"Wilf Gasser";"Evangelische Allianz";"Ja";"Diskutant";"-"
"@9";"Adrian Müller";"Instruktor";"Ja";"Zuschauer";"-"
"@10";"Franziska Lanz";"Pflegefachfrau";"Ja";"Zuschauer";"-"
"@11";"Gabriela Züst";"Biobäuerin";"Ja";"Zuschauer";"-"
"@12";"Steve Mueggler";"Berater";"Ja";"Zuschauer";"-"
"@13";"Patrick Von Aesch";"Aussendienstmitarbeiter";"Ja";"Zuschauer";"-"
"@14";"Marco Bischof";"kaufmännischer Angestellter";"Ja";"Zuschauer";NA
