"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/der-notfallplan-muessen-wir-uns-gegen-die-fluechtlinge-wehren"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Hans-Jürg Käser";"Regierungsrat BE/FDP";"Ja";"Experte";"-"
"@5";"Doris Fiala";"Nationalrätin FDP/ZH";"Ja";"Diskutant";"-"
"@6";"Andreas Nufer";"Pfarrer";"Ja";"Diskutant";"-"
"@7";"Andreas Glarner";"Nationalrat SVP/AG";"Ja";"Diskutant";"-"
"@8";"Mattea Meyer";"Nationalrätin SP/ZH";"Ja";"Diskutant";"-"
"@9";"Yvo Steinmann";"Informatiker";"Ja";"Zuschauer";"-"
"@10";"Daniel Forrer";"Lehrer";"Ja";"Zuschauer";"-"
"@11";"Hüseyn Aydemir";"Flüchtlingshelfer";"Ja";"Zuschauer";"-"
"@12";"Hans Frey";"Ingenieur";"Ja";"Zuschauer";"-"
"@13";"Milena Grubenmann";"Hausfrau";"Ja";"Zuschauer";"-"
"@14";"Brigitta Franchetti";"Sekretärin";"Ja";"Zuschauer";"-"
"@15";"Unbekannt";"Gast";"Ja";"Zuschauer";NA
