"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/frauen-am-herd"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Tiana Angelina Moser";"Nationalrätin GLP/ZH";"Ja";"Diskutant";"-"
"@5";"Philipp Gut";"stv Chefredaktor ""Die Weltwoche""";"Ja";"Diskutant";"-"
"@6";"Rosmarie Zapfl";"ex-Nationalrätin CVP/ZH";"Ja";"Diskutant";"-"
"@7";"Anita Weyermann";"ex-Leichtathletin";"Ja";"Diskutant";"-"
"@8";"Nicole Morf";"Hausfrau";"Ja";"Zuschauer";"-"
"@9";"Valentin Vogt";"Direktor Arbeitgeberverband";"Ja";"Experte";"-"
"@10";"Maria Nestola";"Aussendienst-Mitarbeiterin";"Ja";"Zuschauer";"-"
"@11";"Hildegard Zobrist";"Unternehmerin";"Ja";"Zuschauer";"-"
"@12";"Vinoth Tissaveerasingham";"Student";"Ja";"Zuschauer";"-"
"@13";"Patrick Portmann";"Pfleger";"Ja";"Zuschauer";"-"
"@14";"namenlose Zuschauerin";NA;"Ja";"Zuschauer";NA
