Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/zu-alt-um-zu-leben
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Felix Gmür;Bischof Bistum Basel;Ja;Diskutant;-
@5;Saskia Frei;Präsidentin Exit;Ja;Diskutant;-
@6;Daniel Jositsch;Ständerat SP/ZH;Ja;Diskutant;-
@7;Tanja Krones;Medizinethikerin;Ja;Experte;-
@8;Ruth Baumann-Hölzle;Medizinethikerin;Ja;Experte;-
@9;Lucian Jost;Pflegefachmann;Ja;Zuschauer;-
@10;Walter Meili;Psychiater;Ja;Zuschauer;-
@11;Peter Burri;Pro Senectute;Ja;Zuschauer;-
@12;Gerhard Pfister;Nationalrat CVP/ZG;Ja;Diskutant;-
@13;Felix Merki;Landwirt;Ja;Zuschauer;-
@14;Claudia Gohrbrandt;Palliative Care;Ja;Zuschauer;-
