Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/das-heilige-land
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Gerhard Pfister;Präsident CVP;Ja;Diskutant;-
@5;Cédric Wermuth;Nationalrat SP/AG;Ja;Diskutant;-
@6;Walter Wobmann;Nationalrat SVP/SO;Ja;Diskutant;-
@7;Rosmarie Quadranti;Nationalrätin BDP/ZH;Ja;Diskutant;-
@8;Nicole Poëll;Präsidentin Plattform der Liberalen Juden der Schweiz;Ja;Experte;-
@9;Farhad Afshar;Präsident Koordination Islamischer Organisationen Schweiz;Ja;Experte;-
@10;Herr Grossenbacher;Schulleiter;Ja;Zuschauer;-
@11;Thys Flüeler;Rentner;Ja;Zuschauer;-
@12;Alexander Weibel;Zugbegleiter;Ja;Zuschauer;-
@13;Esther Weder;Verkäuferin;Ja;Zuschauer;-
@14;Christoph Schmit;Theologe;Ja;Zuschauer;-
@15;Zuschauerin 1;Lehrerin;Ja;Zuschauer;-
