"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/kapitalismus-oder-klassenkampf"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Christian Levrat";"Präsident SP";"Ja";"Diskutant";"-"
"@5";"Petra Gössi";"Präsidentin FDP";"Ja";"Diskutant";"-"
"@6";"Niklaus Scherr";"Alternative Liste/ZH";"Ja";"Diskutant";"-"
"@7";"Franz Jaeger";"ex-Wirtschaftsprofessor";"Ja";"Diskutant";"-"
"@8";"Rudolf Strahm";"ex-Nationalrat";"Ja";"Experte";"-"
"@9";"Simon Küffer = Tommy Vercetti";"Mundart-Rapper Schweiz";"Ja";"Zuschauer";"-"
"@10";"Pascal Brenneisen";"ex-Geschäftsführer Novartis Schweiz";"Ja";"Zuschauer";"-"
"@11";"Richard Fischer";"ex-Bauunternehmer";"Ja";"Zuschauer";"-"
"@12";"Werner Krauss";"Rentner";"Ja";"Zuschauer";"-"
