"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/vergoldete-bauern"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Ruedi Noser";"Ständerat FDP/ZH";"Ja";"Diskutant";"-"
"@5";"Markus Ritter";"Nationalrat CVP/SG";"Ja";"Diskutant";"-"
"@6";"Barbara Gysi";"Nationalrätin SP/SG";"Ja";"Diskutant";"-"
"@7";"Werner Salzmann";"Nationalrat SVP/BE";"Ja";"Diskutant";"-"
"@8";"Christian Hofer";"Vizedirektor Bundesamt für Landwirtschaft";"Ja";"Experte";"-"
"@9";"Sybille Gutknecht";"Bäuerin";"Ja";"Zuschauer";"-"
"@10";"Hansjörg Lisebach";"Landwirt";"Ja";"Zuschauer";"-"
"@11";"Mark Gasche";"Unternehmer";"Ja";"Zuschauer";"-"
"@12";"Bernhard Nyffenegger";"Produktemanager IT";"Ja";"Zuschauer";"-"
"@13";"Alfred Schläpfer";"Rentner";"Ja";"Zuschauer";"-"
