"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/zukunfts-arena"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Tamara Funiciello";"Präsidentin JUSO Schweiz";"Ja";"Diskutant";"-"
"@5";"Andri Silberschmidt";"Präsident Jungfreisinnige Schweiz";"Ja";"Diskutant";"-"
"@6";"Tino Schneider";"Präsident Junge CVP";"Ja";"Diskutant";"-"
"@7";"Benjamin Fischer";"Präsident Junge SVP Schweiz";"Ja";"Diskutant";"-"
"@8";"Jürg Stahl";"Nationalratspräsident";"Ja";"Experte";"-"
"@9";"Sina Benesch";"Gymnasiastin";"Ja";"Zuschauer";"-"
"@10";"Rahel Lagler";"Studentin";"Ja";"Zuschauer";"-"
"@11";"Gianin Bergamin";"Gymnasiast";"Ja";"Zuschauer";"-"
"@12";"Belana Kammermann";"Lernende";"Ja";"Zuschauer";"-"
"@13";"Jessica Ott";"Lernende";"Ja";"Zuschauer";"-"
