"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/ernstfall-trump"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Micheline Calmy-Rey";"ex-Bundesrätin";"Ja";"Diskutant";"-"
"@5";"James Foley";"Vertreter US-Republikaner in der Schweiz";"Ja";"Diskutant";"-"
"@6";"Samir Jamal Aldin = Samir";"Regisseur";"Ja";"Diskutant";"-"
"@7";"Klaus Wellershoff";"Ökonom";"Ja";"Diskutant";"-"
"@8";"Mara Tattersall";"Gymnasiastin";"Ja";"Zuschauer";"-"
"@9";"Lars Jossen";"Gymnasiast";"Ja";"Zuschauer";"-"
"@10";"Dariyusch Pour Mohsen";"Student";"Ja";"Zuschauer";"-"
"@11";"Lloyd Blankfein";"CEO Goldman Sachs";"Ja";"Zuschauer";"-"
"@12";"Jeff Bezos";"CEO Amazon";"Ja";"Zuschauer";"-"
"@13";"Adrian Spahr";"Junge SVP Kanton Bern";"Ja";"Zuschauer";"-"
"@14";"Marine Le Pen";"Präsidentin Front National";"Ja";"Zuschauer";"-"
"@15";"Julien Gaberthüel";"Lernender";"Ja";"Zuschauer";"-"
"@16";"Paul Bossert";"Pensionär";"Ja";"Zuschauer";"-"
