"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/abgestraft-und-blamiert-wacht-die-wirtschaft-jetzt-endlich-auf"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Jacqueline Badran";"Nationalrätin SP";"Ja";"Diskutant";"-"
"@5";"Oswald Grübel";"ex-Konzernchef UBS";"Ja";"Diskutant";"-"
"@6";"Konrad Graber";"Ständerat CVP";"Ja";"Diskutant";"-"
"@7";"Ruedi Noser";"Ständerat FDP";"Ja";"Diskutant";"-"
"@8";"Ueli Mäder";"Soziologe";"Ja";"Experte";"-"
"@9";"Dominik Strobel";"Berater integrierte Nachhaltigkeit";"Ja";"Zuschauer";"-"
"@10";"Michael Schoy";"Student";"Ja";"Zuschauer";"-"
"@11";"Severin Schwan";"Konzernchef Roche";"Ja";"Zuschauer";"-"
"@12";"Ivan Glasenberg";"CEO Glencore";"Ja";"Zuschauer";"-"
"@13";"Ulrich Spiesshofer";"Konzernchef ABB";"Ja";"Zuschauer";"-"
"@14";"Matthias Etter";"Geschäftsführer Holzspielwaren Cuboro";"Ja";"Zuschauer";"-"
"@15";"Raphaela Britt";"Fachfrau Gesundheit";"Ja";"Zuschauer";"-"
"@16";"Unbekannt";"Befragte im Publikum";"Ja";"Zuschauer";NA
