"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/trumps-krieg-2"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Roger Schawinski";"Journalist";"Ja";"Diskutant";"-"
"@5";"Claudio Zanetti";"Nationalrat SVP";"Ja";"Diskutant";"-"
"@6";"Karin Müller";"Chefredaktorin, Mitglied Geschäftsleitung Telebasel";"Ja";"Diskutant";"-"
"@7";"Daniele Ganser";"Historiker";"Ja";"Diskutant";"-"
"@8";"Markus Spillmann";"Präsident Stiftungsrat Schweizer Presserat";"Ja";"Experte";"-"
"@9";"Vincent Augustin";"Präsident UBI";"Ja";"Experte";"-"
"@10";"Donald Trump";"US-Präsident";"Ja";"Zuschauer";"-"
"@11";"Remo Ruchti";"Informatiker";"Ja";"Zuschauer";"-"
"@12";"Paul Von Wartburg";"Rentner";"Ja";"Zuschauer";"-"
"@13";"Walter Bossert";"Bauleiter";"Ja";"Zuschauer";"-"
"@14";"Eva Büchi";"Kantonsschullehrerin";"Ja";"Zuschauer";"-"
