"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/rentenreform-auf-der-kippe"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Regine Sauter";"Nationalrat FDP";"Ja";"Diskutant";"-"
"@5";"Paul Rechsteiner";"Ständerat SP";"Ja";"Diskutant";"-"
"@6";"Sebastian Frehner";"Nationalrat SVP";"Ja";"Diskutant";"-"
"@7";"Ruth Humbel Näf";"Nationalrätin CVP";"Ja";"Diskutant";"-"
"@8";"Thomas Weibel";"Nationalrat GLP/ZH";"Ja";"Diskutant";"-"
"@9";"Bernhard Guhl";"Nationalrat BDP";"Ja";"Diskutant";"-"
"@10";"Christine Häsler";"Nationalrätin Grüne/BE";"Ja";"Diskutant";"-"
"@11";"Gody Herger";"Pensionsplaner";"Ja";"Zuschauer";"-"
"@12";"Alfred Neeser";"Rentner";"Ja";"Zuschauer";"-"
"@13";"Unbekannte";"Zuschauer";"Ja";"Zuschauer";NA
