Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/sollte-die-nicht-bei-den-kindern-sein
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Andrea Martina Geissbühler;Nationalrätin SVP;Ja;Diskutant;-
@5;Jacqueline Fehr;Regierungsrätin ZH/SP;Ja;Diskutant;-
@6;Christa Rigozzi;Moderatorin;Ja;Diskutant;-
@7;Marco Giglio;Präsident Verein Helvetia Christiana;Ja;Diskutant;-
@8;Nadja Schnetzler;Coach für Zusammenarbeit;Ja;Andere;-
@9;Stéphanie Von Walterskirchen;Mutter;Ja;Zuschauer;-
@10;Regula Lehmann;Elterncoach;Ja;Zuschauer;-
@11;Simone Wipf;Juristin;Ja;Zuschauer;-
@12;Sarina Kübler;Lernende;Ja;Zuschauer;-
