"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/auf-in-die-eu"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Nicole Nickerson";"Präsidentin Young European Swiss (YES)";"Ja";"Diskutant";"-"
"@5";"Christoph Blocher";"Chefstratege SVP";"Ja";"Diskutant";"-"
"@6";"Eric Nussbaumer";"Nationalrat SP";"Ja";"Diskutant";"-"
"@7";"Filippo Lombardi";"Fraktionschef CVP";"Ja";"Diskutant";"-"
"@8";"Monika Rühl";"Direktor Economiesuisse";"Ja";"Experte";"-"
"@9";"Dominik Aerni";"Zahnarzt";"Ja";"Zuschauer";"-"
"@10";"Domagoj Franciskovic";"Auslieferungsspezialist";"Ja";"Zuschauer";"-"
"@11";"Martin Amhof";"Leiter Qualitätsmanagement";"Ja";"Zuschauer";"-"
"@12";"Janosch Weyermann";"Student";"Ja";"Zuschauer";"-"
"@13";"Yves Rossier";"ex-Staatssekretär EDA";"Nein";"Anderes";"-"
