Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/legal-kiffen
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Bastien Girod;Nationalrat Grüne/ZH;Ja;Diskutant;-
@5;Patrick Frey;Kabarettist;Ja;Diskutant;-
@6;Verena Herzog;Nationalrätin SVP;Ja;Diskutant;-
@7;Ruth Humbel;Nationalrat CVP;Ja;Diskutant;-
@8;Marc Früh;Dachverband Drogenabstinenz Schweiz;Ja;Zuschauer;-
@9;Nino Forrer;Verein Legalize it;Ja;Zuschauer;-
@10;Käthi Kaufmann;Präsidentin Jugend und Familie;Ja;Zuschauer;-
@11;Pierre Nanon = Cali P;Reggae-Musiker;Ja;Zuschauer;-
