"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/eine-tierische-arena"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Meret Schneider";"Sentience Politics";"Ja";"Diskutant";"-"
"@5";"Markus Ritter";"Präsident Schweizerischer Bauernverband";"Ja";"Diskutant";"-"
"@6";"Hans-Ulrich Huber";"Geschäftsführer Schweizer Tierschutz";"Ja";"Diskutant";"-"
"@7";"Peter Grünenfelder";"Direktor Avenir Suisse";"Ja";"Diskutant";"-"
"@8";"Meinrad Pfister";"Zentralpräsident Suisseporcs";"Ja";"Zuschauer";"-"
"@9";"Roland Müller";"Gärtner";"Ja";"Zuschauer";"-"
"@10";"Eric Meili";"Bauer";"Ja";"Zuschauer";"-"
"@11";"Armin Capaul";"Initiant Hornkuh-Initiative";"Ja";"Zuschauer";"-"
"@12";"Martin Iseli";"Erwachsenenbildner";"Ja";"Zuschauer";"-"
"@13";"namenloser Zuschauer";NA;"Ja";"Zuschauer";NA
"@14";"namenloser Zuschauer";NA;"Ja";"Zuschauer";NA
"@15";"namenloser Zuschauer";NA;"Ja";"Zuschauer";NA
"@16";"namenloser Zuschauer";NA;"Ja";"Zuschauer";NA
"@17";"namenloser Zuschauer";NA;"Ja";"Zuschauer";NA
"@18";"namenloser Zuschauer";NA;"Ja";"Zuschauer";NA
