"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/die-parteipraesidenten"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Petra Gössi";"Präsidentin FDP";"Ja";"Diskutant";"-"
"@5";"Christian Levrat";"Präsident SP";"Ja";"Diskutant";"-"
"@6";"Gerhard Pfister";"Präsident CVP";"Ja";"Diskutant";"-"
"@7";"Albert Rösti";"Präsident SVP";"Ja";"Diskutant";"-"
"@8";"Lorenz Hess";"Vize-Präsident BDP";"Ja";"Zuschauer";"-"
"@9";"Martin Bäumle";"Präsident GLP";"Ja";"Zuschauer";"-"
"@10";"Regula Rytz";"Präsidentin Grüne";"Ja";"Zuschauer";"-"
