Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/die-heisse-klima-debatte
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Regula Rytz;Präsidentin Grüne;Ja;Diskutant;-
@5;Christian Wasserfallen;Nationalrat FDP;Ja;Diskutant;-
@6;Werner Luginbühl;Ständerat BDP;Ja;Diskutant;-
@7;Walter Wobmann;Nationalrat SVP;Ja;Diskutant;-
@8;Thomas Stocker;Klimaforscher;Ja;Experte;-
@9;Jean-Philippe Kohl;Vizedirektor Swissmem;Ja;Experte;-
@10;Rosmarie Wydler-Wälti;Erziehungs- und Paarberaterin;Ja;Zuschauer;-
@11;Maurizio Thaddey;Berufsschüler;Ja;Zuschauer;-
@12;Hans Haenni;Pilot;Ja;Zuschauer;-
@13;Christian Müller;Landwirt;Ja;Zuschauer;-
@14;namenlos;Kantonnschülerin Winterthur;Ja;Zuschauer;-
@15;Jonas Projer;NA;Ja;Andere;-
@16;Christa Rigozzi;NA;Ja;Andere;-
