"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/nach-burkhalter"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Roger Nordmann";"Nationalrat SP";"Ja";"Diskutant";"-"
"@5";"Petra Gössi";"Präsidentin FDP";"Ja";"Diskutant";"-"
"@6";"Viola Amherd";"Nationalrätin CVP";"Ja";"Diskutant";"-"
"@7";"Albert Rösti";"Präsident SVP";"Ja";"Diskutant";"-"
"@8";"Christa Tobler";"Professorin für Europarecht Universität Basel";"Ja";"Experte";"-"
"@9";"Didier Burkhalter";"Bundesrat";"Nein";"andere";"-"
"@10";"Thomas Fuchs";"Grossrat SVP/BE";"Ja";"Zuschauer";"-"
"@11";"Werner Gartenmann";"Geschäftsführer AUNS";"Ja";"Zuschauer";"-"
"@12";"Florian Egli";"Vize-Präsident Foraus";"Ja";"Zuschauer";"-"
"@13";"Lukas Wegmüller";"Co-Generalsekretär Nebs";"Ja";"Zuschauer";"-"
"@14";"Wladimir Putin";"Präsident Russland";"Nein";"andere";"-"
"@15";"Frau Rösti";NA;"Ja";"Zuschauer";NA
