"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/rente-jung-gegen-alt"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Benjamin Fischer";"Präsident Junge SVP Schweiz";"Ja";"Diskutant";"-"
"@5";"Ruth Humbel";"Nationalrätin CVP";"Ja";"Diskutant";"-"
"@6";"Andri Silberschmidt";"Präsident Jungfreisinnige Schweiz";"Ja";"Diskutant";"-"
"@7";"Hans Stöckli";"Ständerat SP";"Ja";"Diskutant";"-"
"@8";"Daniel Kalt";"Chefökonom UBS";"Ja";"Experte";"-"
"@9";"Luzian Franzini";"Co-Präsident Junge Grüne Partei";"Ja";"Zuschauer";"-"
"@10";"Daniel Huber";"Personalchef";"Ja";"Zuschauer";"-"
"@11";"Erich Wintsch";"Rentner";"Ja";"Zuschauer";"-"
"@12";"Fabian Weiersmüller";"Student";"Ja";"Zuschauer";"-"
