"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/politik-alles-nur-gekauft"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Nadine Masshardt";"Nationalrätin SP";"Ja";"Diskutant";"-"
"@5";"Thierry Burkart";"Nationalrat FDP";"Ja";"Diskutant";"-"
"@6";"Erich Hess";"Nationalrat SVP";"Ja";"Diskutant";"-"
"@7";"Otto Hostettler";"Co-Präsident Lobbywatch";"Ja";"Diskutant";"-"
"@8";"Louis Perron";"Politologe";"Ja";"Experte";"-"
"@9";"Daniel Piller";"Informatiker";"Ja";"Zuschauer";"-"
"@10";"Simon Scherrer";"Präsident UP Schweiz";"Ja";"Zuschauer";"-"
