Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/impf-oder-stirb
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Thomas Kissling;Hausarzt;Ja;Diskutant;-
@5;Erika Ziltener;Präsidentin Schweizerische Patientenstellen;Ja;Diskutant;-
@6;Christoph Berger;Eidgenössische Kommission für Impffragen;Ja;Diskutant;-
@7;Daniel Trappitsch;Netzwerk Impfentscheid;Ja;Diskutant;-
@8;Rose Jenni;Rentnerin;Ja;Zuschauer;-
@9;Lydia Flachsmann;Bäuerin;Ja;Zuschauer;-
@10;Chiara Zgraggen;Medizinische Praxisassistentin;Ja;Zuschauer;-
@11;Priska Schwab;Naturheilpraktikerin;Ja;Zuschauer;-
@12;Donald Trump;US-Präsident;Nein;Andere;-
@13;Stefan Roth;Kinderarzt;Ja;Zuschauer;-
