"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/no-billag-jetzt-redet-das-volk"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Andreas Kleeb";"Initiant Initiative ""No Billag""";"Ja";"Diskutant";"-"
"@5";"Martin Candinas";"Nationalrat CVP";"Ja";"Diskutant";"-"
"@6";"Silvan Amberg";"Co-Präsident ""No Billag""";"Ja";"Experte";"-"
"@7";"Laura Zimmermann";"Co-Präsidentin Operation Libero";"Ja";"Experte";"-"
"@8";"Brigitta Leuthold";"Architektin";"Ja";"Zuschauer";"-"
"@9";"Christoph Walther";"Medienfachjournalist";"Ja";"Zuschauer";"-"
"@10";"Matthias Müller";"Dozent ZHdK";"Ja";"Zuschauer";"-"
"@11";"Koni Rüegg";"Unternehmer";"Ja";"Zuschauer";"-"
"@12";"Peter Klauser";"Ingenieur";"Ja";"Zuschauer";"-"
"@13";"Allan Kilby";"Aussendienstmitarbeiter";"Ja";"Zuschauer";"-"
"@14";"Michael Vogt";"Betrieblicher Mentor";"Ja";"Zuschauer";"-"
"@15";"Michael Kiefer";"Investmentconsultant";"Ja";"Zuschauer";"-"
"@16";"Nico Edelmann";"Geschäftsführer";"Ja";"Zuschauer";"-"
"@17";"Benjamin Frey";"Student";"Ja";"Zuschauer";"-"
