"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/gleichstellung-gleich-erreicht-2"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Sylvia Flückiger-Bäni";"Nationalrätin SVP";"Ja";"Diskutant";"-"
"@5";"Yvonne Feri";"Nationalrätin SP";"Ja";"Diskutant";"-"
"@6";"Stefan Müller-Altermatt";"Nationalrat CVP";"Ja";"Diskutant";"-"
"@7";"Christian Wasserfallen";"Nationalrat FDP";"Ja";"Diskutant";"-"
"@8";"Guido Schilling";"Headhunter";"Ja";"Experte";"-"
"@9";"Daniel Fontana";"Teamleiter Scanning";"Ja";"Zuschauer";"-"
"@10";"Petra Hubler-Schäfer";"Reisebürofachfrau";"Ja";"Zuschauer";"-"
"@11";"Heidi Weber-Rüeg";"Coach für Führungskräfte";"Ja";"Zuschauer";"-"
"@12";"Martin Brun";"Wirtschaftsinformatiker";"Ja";"Zuschauer";"-"
