"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/praesidenten-arena-neue-chancen-in-der-europapolitik"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Thomas Matter";"Nationalrat SVP/ZH";"Ja";"Diskutant";"-"
"@5";"Christian Levrat";"Präsident SP";"Ja";"Diskutant";"-"
"@6";"Petra Gössi";"Präsidentin FDP";"Ja";"Diskutant";"-"
"@7";"Gerhard Pfister";"Präsident CVP";"Ja";"Diskutant";"-"
"@8";"Regula Rytz";"Präsidentin Grüne";"Ja";"Zuschauer";"-"
"@9";"Martin Landolt";"Präsident BDP";"Ja";"Zuschauer";"-"
"@10";"Jürg Grossen";"Präsident GLP";"Ja";"Zuschauer";"-"
