"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/bauern-auf-die-schlachtbank"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Markus Ritter";"Präsident Schweizerischer Bauernverband";"Ja";"Diskutant";"-"
"@5";"Christa Markwalder";"Nationalrätin FDP/BE";"Ja";"Diskutant";"-"
"@6";"Maya Graf";"Nationalrätin Grüne";"Ja";"Diskutant";"-"
"@7";"Patrick Dümmler";"Avenir Suisse";"Ja";"Diskutant";"-"
"@8";"Fabian Molina";"Initiativkomitee ""Ernährungssouveränität""";"Ja";"Zuschauer";"-"
"@9";"Jean-Philippe Kohl";"Direktor Swissmem";"Ja";"Zuschauer";"-"
"@10";"Carmen Bruss";"Hausfrau";"Ja";"Zuschauer";"-"
"@11";"Christian Oberli";"Käsermeister";"Ja";"Zuschauer";"-"
"@12";"Beat Flubacher";"Landwirt";"Ja";"Zuschauer";"-"
"@13";"Fabian Kuhn";"Publikum";"Ja";"Zuschauer";"-"
"@14";"Zuschauer 1";"Publikum";"Ja";"Zuschauer";"-"
