"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/blocher-auf-zum-letzten-gefecht"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Christoph Blocher";"ex-Bundesrat";"Ja";"Diskutant";"-"
"@5";"Philipp Müller";"Ständerat FDP";"Ja";"Diskutant";"-"
"@6";"Cédric Wermuth";"Nationalrat SP";"Ja";"Diskutant";"-"
"@7";"Camille Lothe";"Präsidentin Junge SVP/ZH";"Ja";"Diskutant";"-"
"@8";"Matthias Oesch";"Professor für Europarecht, Universität Zürich";"Ja";"Experte";"-"
"@9";"Robin Udry";"Generalsekretär Pro Tell";"Ja";"Zuschauer";"-"
"@10";"Urs Berner";"Vorstandsmitglied Swissmeme";"Ja";"Zuschauer";"-"
"@11";"Peter Gehler";"Vorstandsmitglied scienceindustries";"Ja";"Zuschauer";"-"
