"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/sparen-bei-den-schwaechsten"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Fabian Molina";"Nationalrat SP/ZH";"Ja";"Diskutant";"-"
"@5";"Thomas Müller";"Nationalrat SVP";"Ja";"Diskutant";"-"
"@6";"Ueli Mäder";"emeritierter Professor Soziologie Universität Basel";"Ja";"Diskutant";"-"
"@7";"Ruth Humbel";"Nationalrätin CVP/AG";"Ja";"Diskutant";"-"
"@8";"Eveline Friedli";"Sozialhilfebezügerin";"Ja";"Zuschauer";"-"
"@9";"Nicolai Richter";"Kantonsschullehrer";"Ja";"Zuschauer";"-"
"@10";"Adrian Schoop";"Gemeindeammann Turgi";"Ja";"Zuschauer";"-"
"@11";"namenlose Zuschauerin";NA;"Ja";"Zuschauer";NA
