"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/entwaffnete-schweiz"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Werner Salzmann";"Nationalrat SVP";"Ja";"Diskutant";"-"
"@5";"Chantal Galladé";"Nationalrätin SP";"Ja";"Diskutant";"-"
"@6";"Robin Udry";"Generalsekretär Pro Tell";"Ja";"Diskutant";"-"
"@7";"Tiana Angelina Moser";"Nationalrätin GLP";"Ja";"Diskutant";"-"
"@8";"Luca Süss";"Gestalter Werbetechnik in Ausbildung";"Ja";"Zuschauer";"-"
"@9";"Barbara Badertscher";"Assistentin Geschäftsleitung";"Ja";"Zuschauer";"-"
"@10";"Ines Kessler";"Büchsenmacherin in Ausbildung";"Ja";"Zuschauer";"-"
"@11";"Sebastian Haas";"Psychiater";"Ja";"Zuschauer";"-"
"@12";"Theo Schneider";"Rentner";"Ja";"Zuschauer";"-"
"@13";"namenloser Zuschauer";NA;"Ja";"Zuschauer";NA
