"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/gesundheitssystem-auf-der-intensivstation"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Gerhard Pfister";"Nationalrat CVP";"Ja";"Diskutant";"-"
"@5";"Hans Stöckli";"Nationalrat SP";"Ja";"Diskutant";"-"
"@6";"Isabelle Moret";"Nationalrätin FDP";"Ja";"Diskutant";"-"
"@7";"Verena Nold";"Direktorin Santésuisse";"Ja";"Diskutant";"-"
"@8";"Erika Ziltener";"Präsidentin Schweizerische Patientenstellen";"Ja";"Zuschauer";"-"
"@9";"Urs Stoffel";"Zentralvorstand Ärzteverband FMH";"Ja";"Zuschauer";"-"
"@10";"Tilman Slembeck";"Gesundheitsökonom";"Ja";"Zuschauer";"-"
"@11";"Richard Binggeli";"Rentner";"Ja";"Experte";"-"
"@12";"Werner Roth";"Rentner";"Ja";"Zuschauer";"-"
"@13";"Madeleine Schmid";"Rentnerin";"Ja";"Zuschauer";"-"
"@14";"René Vinet";"Rentner";"Ja";"Zuschauer";NA
"@15";"Kurt Egloff";"Rentner";"Ja";"Zuschauer";NA
"@16";"namenlose Zuschauerin";NA;"Ja";"Zuschauer";NA
"@17";"namenlose Zuschauerin";NA;"Ja";"Zuschauer";NA
