Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/macht-uns-der-job-kaputt
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Petra Gössi;Präsidentin FDP;Ja;Diskutant;-
@5;Daniel Lampart;Chefökonom Schweizerischer Gewerkschaftsbund;Ja;Diskutant;-
@6;Tamara Funiciello;Präsident JUSO Schweiz;Ja;Diskutant;-
@7;Valentin Vogt;Präsident Schweizerischer Arbeitgeberverband;Ja;Diskutant;-
@8;Jean-Claude Cantieni;Archivar;Ja;Diskutant;-
@9;Markus Birchmeier;Bauunternehmer;Ja;Zuschauer;-
@10;Sibylle Stillhart;Autorin;Ja;Zuschauer;-
@11;Heidi Joos;Geschäftsführerin 50plus;Ja;Zuschauer;-
@12;Zuschauerin (namenlos);FaGe;Ja;Zuschauer;NA
@13;Zuschauerin (namenlos);FaGe;Ja;Zuschauer;NA
@14;Ruth Alvarez;Rentnerin;Ja;Zuschauer;NA
@15;Zuschauerin (namenlos);FaGe;Ja;Zuschauer;NA
@16;Zuschauerin (namenlos);NA;Ja;Zuschauer;NA
@17;Zuschauerin (namenlos);NA;NA;NA;NA
