Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/eu-debatte-die-wirtschaft-erwacht
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Heinz Karrer;Präsident Economiesuisse;Ja;Diskutant;-
@5;Daniel Lampart;Chefökonom Schweizerischer Gewerkschaftsbund;Ja;Diskutant;-
@6;Martin Landolt;Präsident BDP;Ja;Diskutant;-
@7;Lukas Reimann;Nationalrat SVP;Ja;Diskutant;-
@8;Christa Tobler;Professorin für Europarecht Universität Basel;Ja;Experte;-
@9;Sandra Schneider;Präsidentin der Jungen AUNS;Ja;Zuschauer;-
@10;Lukas Wegmüller;Generalsekretär Nebs;Ja;Zuschauer;-
@11;Zuschauerin 1;NA;NA;NA;NA
