"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/sollen-tamynique-heiraten-duerfen"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Ruedi Löffel";"EVP/BE";"Ja";"Diskutant";"-"
"@5";"Dominique Rinderknecht";"ex-Miss Schweiz";"Ja";"Diskutant";"-"
"@6";"Tamy Glauser";"Model";"Ja";"Diskutant";"-"
"@7";"Regula Lehmann";"Familienbeauftragte Stiftung Zukunft CH";"Ja";"Diskutant";"-"
"@8";"Kathrin Bertschy";"Nationalrätin GLP/BE";"Ja";"Diskutant";"-"
"@9";"Michel Rudin";"Co-Präsident Pink Cross";"Ja";"Diskutant";"-"
"@10";"Lisa Leisi";"Präsidentin EDU/SG";"Ja";"Diskutant";"-"
"@11";"Roland Lutz";"Präsident SVP/SZ";"Ja";"Diskutant";"-"
"@12";"Rudolf Geiger";"Rentner";"Ja";"Zuschauer";"-"
"@13";"Arne";"Vater";"Ja";"Zuschauer";"-"
"@14";"Alvaro";"Vater";"Ja";"Zuschauer";"-"
