"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/kuhhandel-gegen-das-volk"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"Ja";"Diskutant";"-"
"@4";"Moritz Leuenberger";"ex-Bundesrat";"Ja";"Diskutant";"-"
"@5";"Christa Markwalder";"Nationalrätin FDP/BE";"Ja";"Diskutant";"-"
"@6";"Pirmin Bischof";"Ständerat CVP/SO";"Ja";"Diskutant";"-"
"@7";"Michael Hermann";"Politologe";"Ja";"Diskutant";"-"
"@8";"Barbara Gysi";"Nationalrätin SP/SG";"Ja";"Diskutant";"-"
"@9";"Franz Grüter";"Nationalrat SVP/LU";"Ja";"Diskutant";"-"
"@10";"Dimitri Rougy";"Mit-Initiant Referendum gegen Überwachung von Versicherten";"Ja";"Diskutant";"-"
"@11";"Patti Basler";"Slam-Poetin";"Ja";"Andere";"-"
"@12";"Pascal Vuichard";"Co-Präsident Junge GLP";"Ja";"Diskutant";"-"
