"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/anpacken-statt-kofferpacken"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Petra Gössi";"Präsidentin FDP";"Ja";"Diskutant";"-"
"@5";"Albert Rösti";"Präsident SVP";"Ja";"Diskutant";"-"
"@6";"Paul Rechsteiner";"Ständerat SP";"Ja";"Diskutant";"-"
"@7";"Filippo Lombardi";"Ständerat CVP";"Ja";"Diskutant";"-"
"@8";"Peter Christen";"Postbote";"Ja";"Zuschauer";"-"
"@9";"Peter Meier";"Flüchtlingshilfe Schweiz";"Ja";"Diskutant";"-"
"@10";"Patti Basler";"Slam-Poetin";"Ja";"Andere";"-"
