Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/doppelruecktritt-bremse-fuers-eu-dossier
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Christoph Blocher;ex-Bundesrat;Ja;Diskutant;-
@5;Damian Müller;Ständerat FDP/LU;Ja;Diskutant;-
@6;Elisabeth Schneider-Schneiter;Nationalrätin CVP/BL;Ja;Diskutant;-
@7;Corrado Pardini;Nationalrat SP/BE;Ja;Diskutant;-
@8;Christa Tobler;Professorin für Europarecht Universität Basel;Ja;Experte;-
@9;Michael Hermann;Politologe;Ja;Experte;-
@10;Doris Leuthard;Bundesrätin;Nein;Andere;-
@11;Priska Häller;Studiogast;Ja;Zuschauer;-
@12;Heinrich Michel;Rentner;Ja;Zuschauer;-
@13;Robert Danzeisen;Rentner;Ja;Zuschauer;-
@14;Johann Schneider-Ammann;Bundesrat;Nein;-;-
