"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/fahren-wir-die-welt-an-die-wand"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Regula Rytz";"Nationalrätin Grüne/BE";"Ja";"Diskutant";"-"
"@5";"Franz Hohler";"Schriftsteller";"Ja";"Diskutant";"-"
"@6";"Christian Imark";"Nationalrat SVP/SO";"Ja";"Diskutant";"-"
"@7";"Christian Wasserfallen";"Nationalrat FDP/BE";"Ja";"Diskutant";"-"
"@8";"Andreas Fischlin";"Klimaforscher ETH Zürich";"Ja";"Experte";"-"
"@9";"Jörg Caluori";"Kaufmann";"-";"-";"-"
"@10";"Urs Jäger";"Unternehmer";"-";"-";"-"
"@11";"Stefan Luz";"KMU- und Gewerbeverband Kanton Zürich";"-";"-";"-"
