"Trenner";"Person";"Funktion";"vorOrt";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Moderator";"https://www.srf.ch/sendungen/arena/publikumsarena-selbstbestimmungsinitiative"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-"
"@4";"Albert Rösti";"Nationalrat SVP/BE";"-";"Diskutant";"-"
"@5";"Camille Lothe";"Präsidentin Junge SVP/ZH";"-";"Diskutant";"-"
"@6";"Beat Walti";"Nationalrat FDP/ZH";"-";"Diskutant";"-"
"@7";"Laura Zimmermann";"Co-Präsidentin Operation Libero";"-";"Diskutant";"-"
"@8";"Daniel Jositsch";"Ständerat SP/ZH";"-";"Diskutant";"-"
"@9";"Norman Gobbi";"Staatsrat TI/Lega";"-";"Diskutant";"-"
"@10";"Cornelia Boss";"Gymnasiallehrerin";"-";"Zuschauer";"-"
"@11";"Fabian Zurbriggen";"Skilehrer";"-";"Zuschauer";"-"
"@12";"Marcel Colomb";"Software-Entwickler";"-";"Zuschauer";"-"
"@13";"Domingo Zängerle";"Pensionierter Maschinen-Ingenieur";"-";"Zuschauer";"-"
"@14";"Bruno Von Nünlist";"Opern- und Konzertsänger";"-";"Zuschauer";"-"
"@15";"Simon Erhardt";"Informatiker";"-";"Zuschauer";"-"
"@16";"Frau aus dem Publikum";NA;NA;"Zuschauer";NA
