Trenner;Person;Funktion;vorOrt;Rolle;Link
@1;Moderation;Hauptmoderator der Sendung;Ja;Moderator;https://www.srf.ch/sendungen/arena/gekaufte-abstimmungen
@2;Off-Stimme;Stimme zu Einspielern/Beiträgen etc.;-;-;-
@3;Anderes;Nicht gesprochene Annotationen;-;-;-
@4;Rosmarie Quadranti;Nationalrätin BDP/ZH;Ja;Diskutant;-
@5;Otto Hostettler;Co-Präsident Lobbywatch;Ja;Diskutant;-
@6;Claudio Zanetti;Nationalrat SVP/ZH;Ja;Diskutant;-
@7;Hans-Peter Portmann;Nationalrat FDP/ZH;Ja;Diskutant;-
@8;Claude Longchamp;Politikwissenschaftler;Ja;Experte;-
@9;Andrea Gmür-Schönenberger;Nationalrätin CVP/LU;Ja;Diskutant;-
@10;Luzian Franzini;Co-Präsident Junge Grüne;Ja;Diskutant;-
@11;Silvan Amberg;Unabhängigkeitspartei UP;Ja;Zuschauer;-
@12;Patti Basler;Kabarettistin;Ja;Andere;-
@13;Peter Keller;Nationalrat SVP;-;-;-
@14;Jürg Schmidiger;Logistiker;Ja;Zuschauer;-
@15;Zuschauer 1;NA;Ja;Zuschauer;NA
