"Trenner;""Person"";""Funktion"";""vorOrt"";""Rolle"";""Link"""
"@1;""Moderation"";""Hauptmoderator der Sendung"";""Ja"";""Moderator"";""https://www.srf.ch/sendungen/arena/achtung-fertig-wahlen"""
"@2;""Off-Stimme"";""Stimme zu Einspielern/Beiträgen etc."";""-"";""-"";""-"""
"@3;""Anderes"";""Nicht gesprochene Annotationen"";""-"";""-"";""-"""
"@4;""Petra Gössi"";""Präsidentin FDP"";""Ja"";""Diskutant"";""-"""
"@5;""Beat Jans"";""Vize-Präsident SP"";""Ja"";""Diskutant"";""-"""
"@6;""Albert Rösti"";""Präsident SVP"";""Ja"";""Diskutant"";""-"""
"@7;""Martin Candinas"";""Nationalrat CVP/GR"";""Ja"";""Diskutant"";""-"""
"@8;""Balthasar Glättli"";""Nationalrat Grüne/ZH"";""Ja"";""Zuschauer"";""-"""
"@9;""Jürg Grossen"";""Präsident GLP"";""Ja"";""Zuschauer"";""-"""
"@10;""Martin Landolt"";""Präsident BDP"";""Ja"";""Zuschauer"";""-"""
"@11;""Michael Hermann"";""Politologe"";""Ja"";""Experte"";""-"""
"@12;""Christian Wasserfallen"";""Nationalrat FDP/BE"";""Nein"";""Zitat"";""-"""
