"Trenner;""Person"";""Funktion"";""vorOrt"";""Sitzordnung"";""Rolle"";""Link""",
"@1;""Moderation"";""Hauptmoderator der Sendung"";""Ja"";""Innerer Kreis"," Mitte"";""Moderator"";""https://www.srf.ch/sendungen/arena/i-schaenke-dr-mis-haerz"""
"@2;""Off-Stimme"";""Stimme zu Einspielern/Beiträgen etc."";""-"";""-"";""-"";""-""",
"@3;""Anderes"";""Nicht gesprochene Annotationen"";""-"";""-"";""-"";""-""",
"@4;""Felix Gutzwiller"";""ex-Ständerat FDP/ZH"";""Ja"";""1"";""Diskutant"";""-""",
"@5;""Yvonne Gilli"";""ex-Nationalrätin Grüne/SG"";""Ja"";""-1"";""Diskutant"";""-""",
"@6;""Stefan Büsser"";""Komiker"";""Ja"";""2"";""Diskutant"";""-""",
"@7;""Peter Kirchschläger"";""Professor für Theologische Ethik Universität Luzern"";""Ja"";""-2"";""Diskutant"";""-""",
"@8;""Alex Frei"";""ex-Hausarzt"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@9;""Franz Immer"";""Direktor Swisstransplant"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@10;""Alica Engler"";""Hausfrau"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@11;""Michelle Hug"";""Organ-Empfängerin"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@12;""Niklaus Herzog"";""Theologe und Jurist"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@13;""namenlose Zuschauerin"";""Schülerin"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@14;""namenlose Zuschauerin"";""Schülerin"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@15;""namenloser Zuschauer"";""Schüler"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@16;""namenlose Zuschauerin"";""Schülerin"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@17;""namenlose Zuschauerin"";""Schülerin"";""Ja"";""aussen"";""Zuschauer"";""-""",
"@18;""namenloser Zuschauer"";""Schüler"";""Ja"";""aussen"";""Zuschauer"";""-""",
