"Trenner";"Person";"Funktion";"vorOrt";"Sitzordnung";"Rolle";"Link"
"@1";"Moderation";"Hauptmoderator der Sendung";"Ja";"Innerer Kreis, Mitte";"Moderator";"https://www.srf.ch/sendungen/arena/abstimmungs-arena-steuerreform-und-ahv-finanzierung-staf"
"@2";"Off-Stimme";"Stimme zu Einspielern/Beiträgen etc.";"-";"-";"-";"-"
"@3";"Anderes";"Nicht gesprochene Annotationen";"-";"-";"-";"-"
"@4";"Ueli Maurer";"Bundesrat";"Ja";"+1";"Diskutant";"-"
"@5";"Regula Rytz";"Präsidentin Grüne";"Ja";"-2";"Diskutant";"-"
"@6";"Tobias Vögeli";"Co-Präsident JGLP";"Ja";"-1";"Disk";"-"
"@7";"Silvan Amberg";"Vorstand UP";"Ja";"aussen";"Zuschauer";"-"
"@8";"Katharina Prelicz-Huber";"Präsidentin VPOD";"Ja";"aussen";"Zuschauer";"-"
"@9";"Jacqueline Badran";"Nationalrätin SP/ZH";"Ja";"+2";"Diskutant";"-"
"@10";"Hans-Ulrich Bigler";"Nationalrat FDP/ZH";"Ja";"aussen";"Zuschauer";"-"
"@11";"Nicolo Paganini";"Nationalrat CVP/SG";"Ja";"aussen";"Zuschauer";"-"
"@12";"Alain Berset";"Bundesrat";"Nein";"-";"Zitat";"-"
"@13";"Pirmin Bischof";"Ständerat CVP/SO";"Nein";"-";"Zitat";"-"
